# gene name,C1,C2,C3,C4,E1,E2,E3,E4
fimD,2.51E-04,2.33E-04,2.30E-04,2.10E-04,1.64E-04,1.41E-04,1.48E-04,7.74E-05
trs5_5,2.72E-03,2.61E-03,2.97E-03,3.28E-03,1.61E-03,2.23E-03,2.11E-03,1.84E-03
nuoL,1.08E-04,9.78E-05,9.86E-05,9.38E-05,8.33E-05,6.20E-05,5.66E-05,7.28E-05
sspA,2.81E-04,2.84E-04,2.10E-04,2.42E-04,4.59E-04,3.82E-04,3.38E-04,4.14E-04
clpA,6.17E-04,7.42E-04,4.68E-04,6.08E-04,1.31E-03,9.51E-04,1.00E-03,1.01E-03
yjbQ,3.04E-04,3.07E-04,2.13E-04,2.46E-04,5.54E-04,4.47E-04,3.79E-04,4.93E-04
leuB,6.05E-04,5.21E-04,3.98E-04,4.63E-04,3.28E-04,2.21E-04,2.42E-04,2.77E-04
livJ,1.62E-03,1.53E-03,5.67E-04,9.18E-04,3.31E-03,2.71E-03,2.41E-03,2.34E-03
yhaE,6.57E-05,8.81E-05,9.64E-05,9.58E-05,2.52E-05,4.98E-05,5.01E-05,1.68E-05
cheR,6.12E-05,7.77E-05,8.23E-05,7.10E-05,2.68E-05,3.63E-05,5.54E-05,3.63E-05
deoR,1.15E-04,1.15E-04,1.16E-04,1.16E-04,1.83E-04,1.50E-04,1.47E-04,1.45E-04
creD,9.85E-04,1.25E-03,1.19E-03,1.12E-03,6.10E-04,8.77E-04,7.75E-04,5.22E-04
fliI,5.74E-04,6.47E-04,5.69E-04,5.90E-04,4.66E-04,4.90E-04,5.31E-04,4.54E-04
yajC,2.06E-04,2.09E-04,1.25E-04,1.85E-04,4.52E-04,3.42E-04,3.74E-04,2.80E-04
proB,6.74E-04,6.34E-04,4.33E-04,5.71E-04,3.71E-04,2.70E-04,2.99E-04,3.51E-04
proC,1.11E-04,1.58E-04,2.10E-04,2.24E-04,5.32E-05,5.60E-05,6.38E-05,6.84E-05
fdhE,1.33E-04,1.76E-04,1.90E-04,1.88E-04,1.20E-04,1.02E-04,7.77E-05,1.06E-04
nanT,7.17E-04,7.82E-04,9.05E-04,8.61E-04,5.21E-04,6.19E-04,6.45E-04,6.07E-04
glnS,3.92E-04,4.16E-04,4.37E-04,3.68E-04,3.24E-04,3.54E-04,3.09E-04,3.10E-04
pepD,3.35E-04,4.15E-04,3.34E-04,3.62E-04,7.02E-04,6.11E-04,5.71E-04,9.09E-04
yeiH,3.49E-04,3.66E-04,3.45E-04,3.39E-04,2.82E-04,2.65E-04,3.24E-04,2.62E-04
trs5_11,2.97E-03,3.62E-03,4.56E-03,4.58E-03,2.19E-03,2.42E-03,2.27E-03,2.00E-03
slp,1.59E-05,7.22E-05,4.46E-05,5.38E-05,3.67E-04,2.71E-04,1.29E-04,2.90E-04
acrE,2.14E-04,2.20E-04,3.10E-04,2.82E-04,1.51E-04,1.57E-04,1.63E-04,1.16E-04
ptsA,3.05E-04,3.78E-04,4.63E-04,4.52E-04,1.87E-04,2.16E-04,2.78E-04,2.16E-04
nrdA,6.20E-04,5.60E-04,6.08E-04,5.68E-04,4.72E-04,4.75E-04,5.34E-04,4.26E-04
yjiJ,3.27E-04,3.29E-04,3.38E-04,3.25E-04,2.91E-04,2.72E-04,2.66E-04,2.16E-04
srmB,3.44E-04,3.22E-04,4.53E-04,3.98E-04,2.50E-04,2.65E-04,2.45E-04,2.58E-04
ilvB,4.16E-04,4.68E-04,5.32E-04,5.49E-04,6.19E-04,6.59E-04,6.27E-04,6.07E-04
ybeJ,5.60E-05,5.63E-05,7.28E-05,5.52E-05,1.83E-05,2.83E-05,4.33E-05,9.37E-06
purH,4.99E-04,5.70E-04,5.79E-04,4.88E-04,3.79E-04,3.50E-04,4.55E-04,4.09E-04
dadA,1.52E-04,1.87E-04,2.34E-04,2.00E-04,2.93E-04,2.82E-04,3.20E-04,2.50E-04
yjgQ,2.89E-04,3.60E-04,3.74E-04,3.23E-04,2.37E-04,2.52E-04,2.67E-04,2.08E-04
yihD,6.74E-05,6.93E-05,6.73E-05,5.19E-05,7.74E-05,1.03E-04,9.94E-05,9.19E-05
pyrC,6.77E-04,5.32E-04,3.75E-04,4.80E-04,8.75E-04,7.73E-04,7.38E-04,8.91E-04
yiaE,2.79E-04,2.26E-04,2.63E-04,2.21E-04,4.74E-04,3.73E-04,3.23E-04,3.88E-04
ftsZ,2.30E-04,3.24E-04,2.31E-04,2.23E-04,4.38E-04,3.90E-04,3.28E-04,3.95E-04
rplT,2.03E-04,1.60E-04,1.31E-05,9.82E-05,3.20E-04,2.64E-04,2.83E-04,3.33E-04
bcp,1.44E-04,8.63E-05,6.45E-06,6.19E-05,3.83E-04,2.20E-04,2.21E-04,2.59E-04
htpG,4.72E-04,5.93E-04,4.12E-04,5.22E-04,7.24E-04,8.12E-04,6.37E-04,6.93E-04
ygjU,4.04E-04,4.10E-04,5.25E-04,4.99E-04,6.19E-04,5.60E-04,6.98E-04,6.54E-04
gcvT,1.33E-04,1.44E-04,2.24E-04,2.36E-04,4.95E-06,5.83E-05,8.80E-05,6.48E-05
dppC,1.23E-04,9.91E-05,1.85E-04,1.95E-04,4.25E-06,3.57E-05,7.53E-05,3.79E-05
yi81_2,4.49E-04,5.82E-04,6.28E-04,5.67E-04,3.33E-04,3.78E-04,4.34E-04,3.74E-04
thrL,1.25E-04,2.50E-04,2.28E-05,1.77E-04,3.02E-04,5.67E-04,5.62E-04,4.30E-04
ftn,3.34E-04,3.44E-04,7.26E-05,1.92E-04,2.15E-03,1.36E-03,1.08E-03,9.19E-04
dppF,2.69E-04,2.53E-04,3.20E-04,3.19E-04,1.25E-04,1.88E-04,2.24E-04,1.12E-04
gor,3.76E-04,2.68E-04,3.34E-04,3.31E-04,2.23E-04,2.42E-04,2.42E-04,2.35E-04
