# gene name,C1,C2,C3,C4,E1,E2,E3,E4
xylG,3.75E-04,3.81E-04,2.78E-04,3.06E-04,3.53E-04,3.05E-04,3.13E-04,2.43E-04
yojH,6.75E-04,6.84E-04,5.76E-04,6.23E-04,6.22E-04,5.64E-04,6.46E-04,6.14E-04
yrfG,8.29E-05,1.14E-04,1.47E-04,1.06E-04,9.43E-05,8.45E-05,1.35E-04,6.20E-05
yhjH,7.95E-05,1.51E-04,2.27E-04,1.80E-04,5.41E-05,1.19E-04,2.06E-04,9.53E-05
tag,8.89E-05,5.88E-05,1.00E-04,1.25E-04,9.75E-06,3.47E-05,5.55E-05,1.50E-04
yidQ,6.57E-04,6.22E-04,7.76E-04,7.21E-04,6.24E-04,6.91E-04,6.98E-04,6.16E-04
yddB,1.10E-04,9.88E-05,3.87E-05,5.01E-05,1.07E-04,8.44E-05,7.98E-05,9.41E-05
yjhT,3.83E-04,4.06E-04,3.05E-04,3.16E-04,3.74E-04,3.33E-04,3.12E-04,2.73E-04
ruvA,3.93E-05,2.00E-05,6.22E-05,1.72E-05,6.77E-05,3.23E-05,5.25E-05,3.45E-05
yhdZ,4.85E-05,1.06E-04,1.66E-04,1.52E-04,1.09E-05,1.13E-04,1.42E-04,6.62E-05
ycfB,2.10E-04,1.79E-04,1.27E-04,1.14E-04,2.07E-04,1.61E-04,1.48E-04,2.14E-04
yfgA,3.44E-04,3.72E-04,3.85E-04,4.40E-04,3.82E-04,4.12E-04,3.80E-04,4.74E-04
sgaU,3.84E-04,3.91E-04,4.50E-04,3.67E-04,4.04E-04,3.52E-04,4.26E-04,2.69E-04
nuoA,5.84E-05,9.22E-05,2.07E-05,4.57E-05,7.22E-05,5.40E-05,5.74E-05,9.75E-05
celB,4.94E-05,1.05E-04,1.79E-04,1.25E-04,2.05E-05,1.32E-04,1.36E-04,1.65E-05
yicC,8.82E-04,7.95E-04,6.80E-04,7.70E-04,7.59E-04,8.47E-04,7.94E-04,9.22E-04
fruR,3.38E-05,4.45E-05,8.84E-05,6.56E-05,6.15E-05,1.72E-05,2.68E-05,6.57E-05
lytB,1.22E-04,1.72E-04,2.86E-04,2.85E-04,1.35E-04,1.83E-04,1.99E-04,1.93E-04
def,1.71E-04,9.00E-05,5.53E-05,9.13E-05,1.07E-04,9.97E-05,1.03E-04,2.65E-04
cadC,1.13E-04,1.84E-04,2.89E-04,3.38E-04,1.03E-04,2.62E-04,2.30E-04,9.43E-05
fsr,6.45E-05,1.25E-04,1.87E-04,2.17E-04,1.79E-05,1.30E-04,2.17E-04,2.28E-05
metE,2.31E-03,1.92E-03,6.52E-04,1.15E-03,2.51E-03,1.75E-03,1.67E-03,1.61E-03
amyA,1.02E-04,1.38E-04,1.92E-04,1.57E-04,7.71E-05,1.35E-04,1.72E-04,1.08E-04
yjaH,1.78E-05,6.86E-05,1.64E-04,1.52E-04,1.47E-05,6.45E-05,9.54E-05,8.94E-05
nagB,2.87E-05,4.94E-05,8.41E-05,8.99E-05,3.12E-05,4.70E-05,5.57E-05,6.20E-05
ycfD,2.10E-04,2.28E-04,1.51E-04,1.43E-04,2.13E-04,2.43E-04,2.12E-04,1.60E-04
rpsK,1.16E-03,1.32E-03,3.88E-04,6.82E-04,1.21E-03,1.03E-03,1.01E-03,1.07E-03
galF,5.27E-04,2.00E-04,7.83E-05,1.41E-04,4.13E-04,1.79E-04,1.47E-04,9.37E-04
tdcE,1.02E-03,1.10E-03,1.02E-03,9.79E-04,1.09E-03,1.10E-03,1.06E-03,9.92E-04
gyrA,5.43E-04,4.00E-04,3.81E-04,3.55E-04,4.32E-04,3.67E-04,3.21E-04,3.91E-04
lysS,6.20E-04,5.87E-04,4.74E-04,4.31E-04,6.06E-04,5.62E-04,5.20E-04,5.95E-04
rpoB,4.79E-04,3.77E-04,2.65E-04,2.69E-04,4.36E-04,4.03E-04,3.08E-04,4.54E-04
aroM,1.43E-04,2.28E-04,2.43E-04,2.61E-04,2.21E-04,2.29E-04,3.22E-04,2.27E-04
dsbE,1.35E-04,1.18E-04,4.98E-05,7.67E-05,1.01E-04,5.62E-05,8.57E-05,5.95E-05
yaaA,3.85E-05,7.86E-05,2.03E-04,1.87E-04,4.85E-05,8.39E-05,1.16E-04,1.09E-04
pepT,3.10E-06,2.79E-05,6.15E-05,3.76E-05,3.55E-05,4.87E-05,6.54E-05,3.03E-05
asnS,3.32E-04,2.42E-04,1.34E-04,1.59E-04,2.97E-04,2.44E-04,2.18E-04,2.74E-04
rpsJ,6.05E-04,5.34E-04,2.07E-04,3.38E-04,5.31E-04,4.42E-04,4.20E-04,6.55E-04
nuoG,2.20E-04,1.96E-04,1.73E-04,1.67E-04,1.89E-04,1.49E-04,1.15E-04,2.16E-04
relF,1.37E-04,1.15E-04,1.65E-05,5.92E-05,1.21E-04,1.39E-04,7.88E-05,9.35E-05
nhaR,5.68E-04,5.79E-04,4.24E-04,4.73E-04,4.79E-04,5.09E-04,4.66E-04,4.55E-04
iap,1.54E-05,6.09E-05,1.69E-04,1.53E-04,1.43E-06,9.50E-05,1.03E-04,4.90E-05
nagC,2.28E-04,2.20E-04,2.05E-04,1.99E-04,2.40E-04,2.29E-04,1.91E-04,2.37E-04
gadA,1.29E-04,1.58E-04,4.49E-04,3.09E-04,3.03E-04,3.66E-04,3.44E-04,2.92E-04
thrA,1.45E-03,1.33E-03,9.94E-04,1.08E-03,1.36E-03,1.37E-03,1.14E-03,1.40E-03
degS,1.13E-04,1.90E-04,3.75E-04,4.15E-04,1.21E-04,2.11E-04,2.31E-04,2.62E-04
nlpB,1.41E-03,1.27E-03,9.29E-04,1.09E-03,1.27E-03,1.23E-03,1.10E-03,1.62E-03
artM,1.39E-06,1.48E-05,7.50E-05,8.83E-05,5.20E-05,3.22E-05,5.85E-05,1.57E-04
yhbY,6.31E-05,3.76E-05,2.60E-05,4.15E-05,3.82E-05,3.87E-05,4.71E-05,1.04E-04
ftsN,3.03E-04,3.03E-04,2.70E-04,2.75E-04,2.79E-04,1.80E-04,1.91E-04,3.57E-04
wbbK,5.24E-04,3.15E-04,1.24E-04,1.94E-04,4.20E-04,3.33E-04,2.53E-04,4.99E-04
deaD,1.86E-03,1.47E-03,1.37E-03,1.30E-03,2.00E-03,1.58E-03,1.45E-03,1.56E-03
yhbO,3.10E-05,3.32E-05,9.20E-05,1.12E-04,2.00E-06,4.08E-05,7.76E-05,5.92E-05
tufA,8.83E-03,9.68E-03,3.92E-03,5.89E-03,8.32E-03,8.19E-03,8.28E-03,8.03E-03
tus,2.90E-05,3.78E-05,1.10E-04,8.33E-05,2.34E-05,5.34E-05,7.59E-05,3.14E-05
ycdB,1.88E-04,1.94E-04,3.74E-04,3.52E-04,1.79E-04,3.19E-04,2.70E-04,1.09E-04
yehT,1.46E-04,1.35E-04,1.09E-04,1.09E-04,1.02E-04,9.46E-05,1.19E-04,1.38E-04
ptsH,5.11E-04,3.95E-04,1.69E-04,1.80E-04,4.82E-04,4.24E-04,2.33E-04,4.57E-04
otsB,4.98E-06,3.66E-05,5.45E-05,6.10E-05,1.18E-07,5.16E-05,4.02E-05,4.82E-06
yfjD,3.88E-06,1.35E-05,4.90E-05,4.12E-05,2.69E-06,1.81E-05,2.42E-05,2.27E-05
topB,9.06E-04,7.76E-04,5.84E-04,5.36E-04,6.79E-04,6.45E-04,5.11E-04,6.52E-04
gcvA,5.23E-05,4.27E-05,8.65E-05,6.74E-05,3.99E-05,5.12E-05,8.00E-05,2.91E-05
bioC,1.44E-04,8.60E-05,1.11E-04,1.06E-04,1.23E-04,5.86E-05,5.07E-05,1.33E-04
yedK,9.40E-05,1.12E-04,1.44E-04,1.33E-04,9.91E-05,1.10E-04,1.41E-04,7.32E-05
nadB,4.42E-04,4.29E-04,3.71E-04,4.01E-04,4.59E-04,3.72E-04,3.80E-04,3.26E-04
fadD,4.79E-04,4.54E-04,3.42E-04,3.92E-04,4.49E-04,3.77E-04,3.85E-04,3.21E-04
narQ,3.07E-04,2.82E-04,1.68E-04,2.16E-04,2.39E-04,2.18E-04,2.08E-04,1.99E-04
yjfR,1.49E-04,2.01E-04,2.77E-04,2.33E-04,1.67E-04,2.01E-04,2.24E-04,1.67E-04
dut,4.89E-06,6.15E-06,1.29E-04,6.35E-05,1.72E-05,4.66E-08,1.13E-05,6.59E-05
yheD,2.83E-04,4.22E-04,5.42E-04,4.26E-04,2.90E-04,4.29E-04,4.52E-04,2.66E-04
yjbN,5.79E-04,6.27E-04,6.75E-04,5.96E-04,5.73E-04,6.27E-04,6.16E-04,5.78E-04
ilvA,4.82E-04,5.14E-04,6.85E-04,5.92E-04,5.03E-04,5.37E-04,5.42E-04,5.38E-04
ahpF,1.90E-04,1.61E-04,1.27E-04,1.36E-04,1.69E-04,1.27E-04,1.24E-04,1.36E-04
yjcU,1.08E-03,1.08E-03,4.87E-04,5.92E-04,7.71E-04,5.22E-04,4.88E-04,8.56E-04
hflC,3.59E-04,3.19E-04,2.58E-04,2.65E-04,3.60E-04,2.88E-04,2.66E-04,4.38E-04
accB,3.01E-04,2.61E-04,1.21E-04,1.80E-04,2.70E-04,1.88E-04,2.26E-04,3.60E-04
yeiB,7.02E-04,7.09E-04,5.79E-04,6.27E-04,5.85E-04,6.16E-04,6.81E-04,6.12E-04
ileS,2.03E-04,1.68E-04,1.48E-04,1.39E-04,2.59E-04,1.68E-04,1.45E-04,1.80E-04
nohA,1.05E-04,1.53E-04,2.18E-04,1.58E-04,7.36E-05,1.94E-04,1.74E-04,5.37E-05
moaA,4.45E-04,3.36E-04,3.77E-04,3.79E-04,4.15E-04,3.73E-04,3.39E-04,3.01E-04
recC,3.47E-04,5.77E-04,9.89E-04,8.13E-04,4.39E-04,6.00E-04,6.78E-04,5.19E-04
mtlA,1.17E-03,1.15E-03,8.53E-04,8.96E-04,1.12E-03,9.07E-04,8.35E-04,8.61E-04
yddA,7.20E-05,6.76E-05,1.99E-04,1.35E-04,4.26E-05,1.50E-04,1.11E-04,3.28E-05
emrK,2.84E-04,3.26E-04,2.34E-04,2.65E-04,2.76E-04,2.83E-04,2.34E-04,2.41E-04
yciF,1.76E-04,1.79E-04,1.78E-04,1.86E-04,1.54E-04,2.67E-04,2.36E-04,1.56E-04
creB,4.26E-05,8.71E-05,1.48E-04,1.69E-04,3.27E-05,1.18E-04,1.24E-04,5.05E-05
yiaJ,1.74E-05,6.14E-05,1.64E-04,1.11E-04,3.62E-05,7.85E-05,8.49E-05,4.36E-05
lepB,1.73E-05,1.56E-05,6.28E-05,9.21E-05,1.34E-05,2.62E-05,1.38E-05,6.29E-05
pflA,6.64E-06,4.39E-05,6.55E-05,5.18E-05,3.25E-05,5.50E-05,5.60E-05,7.37E-05
tpiA,4.08E-04,3.02E-04,1.63E-04,1.82E-04,4.23E-04,2.88E-04,2.72E-04,2.90E-04
yiiG,2.95E-04,4.01E-04,4.49E-04,3.78E-04,3.04E-04,3.78E-04,4.16E-04,2.78E-04
dam,1.44E-05,2.33E-05,4.10E-05,7.33E-05,4.16E-05,3.44E-05,4.23E-05,9.62E-05
yehP,5.40E-04,5.58E-04,4.60E-04,4.62E-04,4.79E-04,4.51E-04,5.24E-04,4.69E-04
yadT,2.54E-04,2.85E-04,3.35E-04,2.82E-04,3.24E-04,3.28E-04,3.35E-04,2.52E-04
nuoI,4.03E-05,5.07E-05,1.59E-05,3.00E-05,5.05E-05,2.69E-05,2.89E-05,7.28E-05
araG,2.21E-04,3.17E-04,4.00E-04,3.32E-04,2.13E-04,3.35E-04,3.59E-04,1.75E-04
mltB,2.96E-04,3.83E-04,4.13E-04,4.60E-04,2.44E-04,3.40E-04,4.20E-04,3.83E-04
acpS,6.58E-04,2.77E-04,1.97E-04,3.56E-04,4.85E-04,3.20E-04,3.40E-04,8.57E-04
hisQ,5.29E-04,4.20E-04,1.83E-04,2.63E-04,5.17E-04,4.08E-04,3.64E-04,3.78E-04
yceH,4.54E-06,5.93E-07,2.01E-05,2.90E-05,1.79E-05,1.27E-05,1.18E-05,4.42E-05
moaC,5.31E-04,4.90E-04,3.65E-04,3.35E-04,6.28E-04,5.09E-04,3.88E-04,4.24E-04
era,1.84E-04,1.74E-04,1.34E-04,1.67E-04,1.83E-04,1.62E-04,1.53E-04,2.19E-04
yggG,2.89E-05,5.14E-05,1.21E-04,1.10E-04,4.27E-05,6.51E-05,7.94E-05,4.83E-05
proV,1.87E-04,1.58E-04,6.09E-05,5.88E-05,3.54E-04,1.29E-04,1.03E-04,9.90E-05
sapA,2.28E-04,3.20E-04,3.65E-04,3.41E-04,2.23E-04,3.01E-04,3.40E-04,2.67E-04
yeeE,2.78E-04,3.50E-04,3.61E-04,3.02E-04,3.74E-04,4.36E-04,4.20E-04,2.25E-04
yjjX,1.80E-05,5.02E-05,9.25E-05,9.03E-05,5.48E-06,3.43E-05,8.51E-05,4.94E-05
yijD,3.08E-04,2.95E-04,2.92E-04,3.32E-04,3.31E-04,2.87E-04,2.73E-04,2.87E-04
vacB,1.65E-03,1.45E-03,1.15E-03,1.10E-03,1.65E-03,1.48E-03,1.31E-03,1.38E-03
purF,1.13E-03,7.37E-04,4.44E-04,5.67E-04,8.72E-04,7.77E-04,8.03E-04,9.06E-04
dadX,7.48E-05,1.11E-04,1.62E-04,9.86E-05,1.13E-04,1.54E-04,1.78E-04,8.76E-05
glgB,5.74E-04,6.91E-04,7.64E-04,7.65E-04,6.55E-04,6.02E-04,7.33E-04,6.38E-04
hemC,7.13E-06,2.76E-05,1.08E-04,8.66E-05,1.40E-05,1.91E-05,5.75E-05,5.55E-05
yehI,1.53E-04,1.46E-04,1.50E-04,1.53E-04,2.14E-04,2.08E-04,1.95E-04,8.24E-05
rplY,3.73E-04,3.32E-04,5.85E-05,1.69E-04,3.48E-04,2.22E-04,3.82E-04,2.40E-04
yraP,3.31E-04,2.38E-04,2.11E-04,3.41E-04,3.28E-04,2.14E-04,2.60E-04,6.27E-04
fhuC,5.75E-04,6.19E-04,5.79E-04,6.51E-04,5.25E-04,5.88E-04,6.68E-04,5.22E-04
fldB,3.32E-05,4.75E-05,3.27E-05,4.17E-05,2.74E-05,3.44E-05,2.96E-05,4.64E-05
deoC,8.20E-06,5.39E-05,1.75E-04,1.59E-04,1.15E-05,4.70E-05,9.22E-05,1.03E-04
ffh,4.71E-04,4.96E-04,2.52E-04,3.03E-04,3.99E-04,3.42E-04,3.01E-04,2.73E-04
yhiS,1.43E-05,3.65E-05,1.05E-04,9.05E-05,2.55E-06,5.26E-05,6.88E-05,4.22E-05
ychK,2.09E-04,2.58E-04,2.69E-04,2.42E-04,2.58E-04,2.84E-04,2.99E-04,2.10E-04
yehL,3.99E-04,3.90E-04,3.28E-04,3.13E-04,3.37E-04,3.19E-04,3.64E-04,3.37E-04
rhsE,1.03E-03,9.69E-04,9.36E-04,8.10E-04,9.40E-04,9.28E-04,8.81E-04,8.34E-04
thrB,4.22E-04,4.12E-04,4.08E-04,4.43E-04,3.72E-04,4.35E-04,3.98E-04,7.61E-04
ung,7.15E-07,4.18E-05,6.55E-05,8.62E-05,8.94E-05,5.61E-05,6.83E-05,4.42E-05
recT,3.38E-04,2.97E-04,1.96E-04,1.80E-04,2.70E-04,2.19E-04,2.05E-04,1.87E-04
ytfP,3.20E-04,2.60E-04,1.35E-04,1.55E-04,3.19E-04,2.24E-04,2.31E-04,2.46E-04
arcB,1.72E-06,7.43E-05,1.45E-04,1.01E-04,1.34E-05,6.70E-05,9.42E-05,4.13E-05
yehS,7.97E-05,8.62E-05,4.61E-05,5.58E-05,7.20E-05,6.04E-05,7.91E-05,9.17E-05
ubiH,6.82E-04,6.48E-04,4.29E-04,4.78E-04,5.99E-04,4.57E-04,4.40E-04,5.21E-04
dinD,1.61E-06,4.89E-05,1.18E-04,1.02E-04,6.37E-06,5.55E-05,6.90E-05,4.92E-05
rnhB,6.88E-05,5.67E-05,7.87E-05,1.04E-04,4.71E-05,5.52E-05,6.85E-05,9.39E-05
gltS,4.06E-04,4.97E-04,5.24E-04,5.08E-04,3.79E-04,4.95E-04,5.73E-04,2.73E-04
nadR,3.59E-05,9.77E-05,1.47E-04,1.54E-04,4.86E-05,7.49E-05,1.22E-04,9.41E-05
sdaB,2.25E-04,2.01E-04,3.96E-04,3.63E-04,2.65E-04,2.93E-04,2.51E-04,2.22E-04
yjgD,3.43E-04,2.87E-04,1.58E-04,1.63E-04,3.51E-04,3.91E-04,2.34E-04,1.79E-04
purB,4.52E-04,3.45E-04,2.03E-04,2.12E-04,4.86E-04,3.13E-04,2.55E-04,3.91E-04
gadB,1.10E-04,1.53E-04,3.60E-04,2.57E-04,2.67E-04,2.90E-04,2.57E-04,2.37E-04
smpB,1.73E-04,8.78E-05,4.48E-05,7.20E-05,1.02E-04,7.06E-05,5.76E-05,4.16E-04
lspA,4.69E-04,4.46E-04,4.32E-04,5.04E-04,4.43E-04,4.71E-04,4.55E-04,6.02E-04
hrpA,3.79E-07,2.92E-05,6.64E-05,2.88E-05,8.64E-06,6.63E-05,1.35E-04,1.19E-05
ycbC,7.76E-05,9.94E-05,8.18E-05,8.91E-05,5.24E-05,8.27E-05,1.06E-04,7.04E-05
pqiB,8.93E-04,6.65E-04,3.64E-04,4.48E-04,7.00E-04,6.42E-04,5.62E-04,8.68E-04
wbbH,9.12E-04,7.14E-04,5.95E-04,6.61E-04,7.80E-04,7.52E-04,6.82E-04,9.19E-04
yhhT,2.24E-04,3.10E-04,5.87E-04,5.69E-04,1.75E-04,3.61E-04,5.70E-04,2.01E-04
rpsS,1.26E-03,1.16E-03,3.77E-04,5.99E-04,1.11E-03,1.04E-03,8.29E-04,1.08E-03
aroP,1.88E-03,1.88E-03,1.57E-03,1.80E-03,1.89E-03,2.02E-03,1.87E-03,1.66E-03
yejF,3.84E-04,3.14E-04,2.64E-04,2.51E-04,3.01E-04,2.68E-04,2.92E-04,2.58E-04
yjcE,1.01E-03,1.02E-03,1.07E-03,9.68E-04,1.09E-03,9.91E-04,1.01E-03,7.55E-04
tesB,9.53E-05,6.09E-05,1.64E-04,1.69E-04,7.14E-05,6.90E-05,8.20E-05,1.64E-04
rpoH,5.22E-05,6.99E-05,1.74E-04,1.53E-04,6.74E-05,7.72E-05,7.11E-05,1.34E-04
yadI,2.26E-04,9.97E-05,8.23E-05,8.97E-05,1.99E-04,1.27E-04,1.23E-04,1.61E-04
rpsU,2.36E-04,1.73E-04,6.91E-05,1.24E-04,1.13E-04,1.50E-04,2.20E-04,2.62E-04
fabZ,7.66E-04,7.10E-04,5.57E-04,6.02E-04,7.16E-04,6.95E-04,6.38E-04,7.40E-04
yibL,1.55E-04,1.98E-04,2.06E-04,2.19E-04,1.97E-04,2.09E-04,1.71E-04,1.42E-04
argI,7.27E-04,5.82E-04,5.69E-04,5.99E-04,5.52E-04,6.78E-04,5.81E-04,5.22E-04
rplM,5.20E-04,5.52E-04,1.83E-04,3.38E-04,4.70E-04,4.64E-04,3.98E-04,5.19E-04
lpdA,1.33E-03,1.10E-03,4.25E-04,6.32E-04,1.41E-03,9.50E-04,6.73E-04,1.21E-03
galU,1.82E-04,1.72E-04,7.56E-05,1.07E-04,1.55E-04,1.80E-04,1.12E-04,1.76E-04
rpsD,2.76E-03,2.76E-03,9.10E-04,1.39E-03,2.35E-03,2.19E-03,2.20E-03,2.46E-03
deoD,1.64E-04,1.75E-04,1.79E-04,2.00E-04,1.65E-04,1.56E-04,2.20E-04,2.40E-04
hrpB,1.55E-04,2.63E-04,4.36E-04,3.79E-04,1.43E-04,2.78E-04,3.74E-04,2.09E-04
rpsH,1.17E-03,1.13E-03,3.56E-04,6.69E-04,1.05E-03,9.29E-04,9.16E-04,9.97E-04
yjeE,2.10E-04,2.43E-04,1.86E-04,1.96E-04,2.35E-04,1.75E-04,1.96E-04,1.75E-04
ygiF,1.38E-04,1.32E-04,2.40E-04,1.51E-04,1.00E-04,1.40E-04,2.30E-04,6.67E-05
ybhE,1.22E-04,1.65E-04,2.93E-04,3.00E-04,1.53E-04,1.86E-04,2.27E-04,1.78E-04
rpmJ,2.38E-04,1.94E-04,1.84E-05,5.91E-05,1.29E-04,1.52E-04,1.53E-04,2.41E-04
yidA,2.66E-04,3.08E-04,3.55E-04,3.59E-04,2.67E-04,3.26E-04,3.59E-04,4.76E-04
manX,4.05E-04,2.19E-04,8.39E-05,1.34E-04,1.37E-04,1.32E-04,1.25E-04,2.34E-04
gltX,4.29E-04,3.74E-04,2.96E-04,3.24E-04,3.90E-04,3.16E-04,2.23E-04,3.61E-04
cdsA,1.26E-04,2.06E-04,2.15E-04,2.55E-04,1.29E-04,2.00E-04,1.95E-04,1.88E-04
yecD,3.61E-05,3.25E-05,7.60E-05,7.91E-05,4.02E-05,6.37E-05,7.63E-05,9.00E-05
yjiD,3.91E-05,3.33E-05,4.08E-05,3.99E-05,5.39E-05,2.78E-05,1.98E-05,3.03E-05
yjeS,5.78E-04,6.60E-04,5.71E-04,5.40E-04,6.38E-04,6.01E-04,6.40E-04,5.60E-04
dcm,1.37E-04,1.54E-04,1.95E-04,1.37E-04,1.55E-04,1.91E-04,1.63E-04,1.59E-04
tdcB,5.59E-05,7.21E-05,1.30E-04,1.13E-04,5.08E-05,1.22E-04,8.36E-05,4.46E-05
rfaG,1.40E-04,1.24E-04,1.78E-04,1.02E-04,1.86E-04,1.54E-04,1.18E-04,1.46E-04
yjeK,4.02E-04,3.51E-04,4.25E-04,3.74E-04,4.45E-04,4.09E-04,4.11E-04,3.56E-04
yhiJ,2.47E-04,3.23E-04,3.53E-04,3.05E-04,2.39E-04,3.20E-04,3.28E-04,2.51E-04
yhiP,6.52E-04,6.62E-04,5.69E-04,5.76E-04,6.40E-04,6.25E-04,5.79E-04,5.06E-04
atpF,1.01E-03,8.64E-04,3.16E-04,4.44E-04,5.82E-04,5.98E-04,4.66E-04,5.16E-04
yjfZ,9.51E-05,9.90E-05,1.01E-04,8.94E-05,1.02E-04,9.51E-05,9.52E-05,1.01E-04
pdxA,3.75E-06,4.06E-05,1.06E-04,1.34E-04,2.21E-06,4.93E-05,9.74E-05,3.57E-05
rplX,7.13E-04,6.90E-04,2.18E-04,3.15E-04,4.95E-04,5.61E-04,5.28E-04,7.38E-04
rbsB,1.18E-03,9.43E-04,4.59E-04,7.42E-04,2.35E-03,4.87E-04,5.33E-04,1.24E-03
intD,2.86E-04,3.29E-04,2.74E-04,2.55E-04,2.99E-04,3.89E-04,2.65E-04,2.80E-04
yhfV,1.88E-04,1.92E-04,2.78E-04,2.57E-04,1.46E-04,2.09E-04,2.63E-04,2.05E-04
ydjE,7.13E-04,7.00E-04,5.24E-04,5.64E-04,6.50E-04,7.23E-04,6.96E-04,5.88E-04
argG,1.59E-03,1.21E-03,8.50E-04,8.11E-04,1.29E-03,1.28E-03,1.12E-03,1.29E-03
cyoC,2.12E-04,1.99E-04,7.20E-05,1.44E-04,2.33E-04,1.87E-04,1.34E-04,1.78E-04
yi21_1,2.94E-04,3.58E-04,4.92E-04,4.11E-04,2.78E-04,4.18E-04,4.03E-04,3.05E-04
map,9.15E-05,1.62E-04,1.99E-04,2.10E-04,9.28E-05,1.39E-04,1.66E-04,1.75E-04
wbbI,4.52E-04,3.46E-04,9.38E-05,1.69E-04,3.96E-04,2.64E-04,2.06E-04,4.77E-04
efp,2.47E-04,2.12E-04,1.58E-04,1.74E-04,1.78E-04,1.43E-04,1.31E-04,2.48E-04
pmbA,1.23E-04,1.59E-04,2.96E-04,2.05E-04,1.08E-04,1.56E-04,2.40E-04,1.52E-04
yjaA,1.51E-04,1.53E-04,1.59E-04,1.68E-04,1.47E-04,1.83E-04,1.65E-04,1.59E-04
cysC,3.41E-05,3.35E-05,2.94E-05,4.45E-05,1.25E-05,3.10E-05,6.50E-05,7.27E-05
ydeF,3.26E-04,3.36E-04,2.44E-04,2.24E-04,3.42E-04,3.10E-04,3.25E-04,2.48E-04
pbpG,1.36E-04,1.51E-04,1.80E-04,1.76E-04,1.03E-04,1.48E-04,1.62E-04,1.78E-04
secG,5.06E-04,5.33E-04,1.51E-04,3.06E-04,3.93E-04,2.77E-04,3.09E-04,2.61E-04
murB,2.43E-04,1.95E-04,1.31E-04,3.27E-04,1.77E-04,1.53E-04,2.21E-04,2.24E-04
pth,1.53E-04,1.22E-04,8.62E-05,1.02E-04,1.29E-04,1.26E-04,1.17E-04,1.31E-04
rplU,1.14E-03,9.99E-04,2.51E-04,4.36E-04,1.05E-03,8.29E-04,7.52E-04,8.01E-04
prlA,2.82E-03,2.75E-03,1.13E-03,1.49E-03,2.69E-03,2.06E-03,2.03E-03,2.67E-03
yrbK,5.72E-05,8.49E-05,7.46E-05,9.09E-05,7.78E-05,7.92E-05,7.49E-05,1.01E-04
rpoC,2.52E-04,3.35E-04,3.99E-04,4.29E-04,2.45E-04,2.85E-04,3.11E-04,4.27E-04
amiA,1.16E-04,8.79E-05,1.56E-04,1.70E-04,7.75E-05,1.10E-04,1.14E-04,1.61E-04
betT,7.20E-04,8.29E-04,7.16E-04,7.84E-04,6.79E-04,8.18E-04,8.21E-04,5.44E-04
aroA,7.04E-04,4.70E-04,2.65E-04,3.66E-04,5.03E-04,3.24E-04,3.36E-04,3.75E-04
rpsM,6.81E-04,5.09E-04,2.07E-04,3.66E-04,4.29E-04,4.73E-04,5.52E-04,5.87E-04
yeiP,1.99E-04,2.15E-04,1.17E-04,1.29E-04,1.67E-04,1.38E-04,1.56E-04,1.32E-04
tsf,7.14E-03,2.28E-03,9.35E-04,2.71E-03,3.75E-03,1.94E-03,1.90E-03,1.34E-02
yicL,6.79E-06,7.55E-05,1.59E-04,9.38E-05,1.00E-05,9.88E-05,8.43E-05,4.60E-05
rbn,3.94E-04,5.48E-04,7.02E-04,5.62E-04,4.73E-04,5.66E-04,5.59E-04,4.22E-04
yaeL,1.39E-04,1.34E-04,9.12E-05,9.02E-05,1.61E-04,1.39E-04,1.02E-04,1.03E-04
nuoF,2.87E-04,2.62E-04,1.37E-04,1.25E-04,2.31E-04,1.52E-04,1.36E-04,1.72E-04
alaS,9.10E-05,8.47E-05,1.50E-05,1.80E-05,1.62E-04,6.16E-05,2.28E-05,5.51E-05
yjcQ,2.40E-04,2.02E-04,1.53E-04,1.74E-04,2.05E-04,1.62E-04,1.47E-04,1.96E-04
yhfR,8.89E-05,1.15E-04,1.38E-04,1.77E-04,5.26E-05,1.25E-04,1.49E-04,1.22E-04
yebH,1.07E-04,1.40E-04,1.65E-04,1.46E-04,1.40E-04,1.74E-04,1.50E-04,1.32E-04
cchB,4.43E-05,6.35E-05,7.29E-05,1.30E-04,2.40E-05,4.20E-05,7.67E-05,1.04E-04
yibK,5.06E-05,8.00E-05,1.64E-04,1.58E-04,2.68E-05,9.78E-05,1.65E-04,6.16E-05
ybeA,4.69E-05,5.39E-05,1.81E-04,1.73E-04,3.43E-05,8.55E-05,1.44E-04,8.46E-05
deoB,2.34E-04,2.69E-04,4.10E-04,3.75E-04,2.27E-04,2.67E-04,3.26E-04,3.45E-04
yebI,4.28E-04,5.16E-04,6.35E-04,5.72E-04,4.31E-04,5.59E-04,6.20E-04,3.61E-04
yeiR,2.51E-04,2.69E-04,2.15E-04,2.12E-04,2.17E-04,2.32E-04,2.58E-04,1.92E-04
rfaF,2.18E-04,2.07E-04,2.34E-04,1.85E-04,1.91E-04,2.25E-04,1.74E-04,2.16E-04
yrbB,2.68E-05,2.48E-05,6.50E-05,4.62E-05,3.95E-05,2.96E-05,6.70E-05,5.77E-05
yadS,6.69E-05,5.97E-05,1.23E-04,1.13E-04,8.42E-05,7.61E-05,1.07E-04,4.57E-05
rlpA,6.27E-04,6.22E-04,4.99E-04,6.10E-04,6.30E-04,6.13E-04,5.11E-04,4.91E-04
